Analyze with upper bound?[n]Build multiple models?[n]What's the threshold of p-value?[0.05]Allow Early Termination?[n]xmax=inf	_xmin=26552	a=6.4152024826519	D=0.249796073730284	p=1
xmax=inf	_xmin=5017	a=2.95467860860903	D=0.0730156691346682	p=0.57
xmax=inf	_xmin=4946	a=2.92432695712136	D=0.0725528524638954	p=0.58
xmax=inf	_xmin=4894	a=2.90814865906347	D=0.0718910906263726	p=0.61
xmax=inf	_xmin=4892	a=2.92882751626262	D=0.0709395160653798	p=0.74
xmax=inf	_xmin=4871	a=2.93493629191646	D=0.0701270014848682	p=0.66
xmax=inf	_xmin=4861	a=2.94916824357586	D=0.0693239520565705	p=0.65
xmax=inf	_xmin=4855	a=2.98817404180489	D=0.0678688565687883	p=0.67
xmax=inf	_xmin=4845	a=3.0018106671345	D=0.0671999327365544	p=0.79
xmax=inf	_xmin=4836	a=3.0160604075876	D=0.0665746621655368	p=0.72
xmax=inf	_xmin=4834	a=3.05769113984459	D=0.0797872025572778	p=0.45
xmax=inf	_xmin=4768	a=3.02213863096108	D=0.0645048157656513	p=0.7
xmax=inf	_xmin=4762	a=3.03800826474625	D=0.0691125638561866	p=0.63
xmax=inf	_xmin=4740	a=3.03976241281621	D=0.069120492117691	p=0.64
xmax=inf	_xmin=4731	a=3.05261369821639	D=0.0738493790175469	p=0.66
xmax=inf	_xmin=4722	a=3.06526967344779	D=0.0783746341652061	p=0.47
xmax=inf	_xmin=4698	a=3.0641926036379	D=0.0771113999548562	p=0.53
xmax=inf	_xmin=4696	a=3.08279477329536	D=0.0838465592700475	p=0.39
xmax=inf	_xmin=4695	a=3.10227714634026	D=0.0907855214295531	p=0.35
xmax=inf	_xmin=4661	a=3.09073413339855	D=0.0853392509685606	p=0.37
xmax=inf	_xmin=4651	a=3.10139566277706	D=0.088588745301985	p=0.35
xmax=inf	_xmin=4632	a=3.1033096152739	D=0.0884383092985342	p=0.29
xmax=inf	_xmin=4628	a=3.11929619608795	D=0.0935194379186235	p=0.29
xmax=inf	_xmin=4592	a=3.10426894068275	D=0.0871385183221906	p=0.38
xmax=inf	_xmin=4580	a=3.11211749822482	D=0.0891046121786394	p=0.23
xmax=inf	_xmin=4555	a=3.10712789782324	D=0.0865139650249682	p=0.36
xmax=inf	_xmin=4554	a=3.12529576520655	D=0.0919519218367014	p=0.25
xmax=inf	_xmin=4538	a=3.12851472002521	D=0.0921889740938598	p=0.3
xmax=inf	_xmin=4529	a=3.13847753739676	D=0.0946598816975288	p=0.25
xmax=inf	_xmin=4513	a=3.14119094786323	D=0.0946871533160007	p=0.22
xmax=inf	_xmin=4494	a=3.14062917754761	D=0.0936531706923798	p=0.18
xmax=inf	_xmin=4466	a=3.14909268456986	D=0.0945813582934082	p=0.15
xmax=inf	_xmin=4437	a=3.13752644483935	D=0.0902418845168833	p=0.26
xmax=inf	_xmin=4414	a=3.13195002828802	D=0.0878017234618714	p=0.24
xmax=inf	_xmin=4412	a=3.14778575907852	D=0.0916620949289011	p=0.27
xmax=inf	_xmin=4348	a=3.09977340767271	D=0.0772202475983227	p=0.32
xmax=inf	_xmin=4342	a=3.1110009833681	D=0.0796746850285018	p=0.33
xmax=inf	_xmin=4314	a=3.09962185248281	D=0.0759086061062932	p=0.39
xmax=inf	_xmin=4305	a=3.10744581910673	D=0.0773585344509257	p=0.43
xmax=inf	_xmin=4288	a=3.10686689236152	D=0.0765651029106621	p=0.41
xmax=inf	_xmin=4279	a=3.11435692705674	D=0.0778613707110919	p=0.42
xmax=inf	_xmin=4233	a=3.08351376378974	D=0.0694741516574474	p=0.51
xmax=inf	_xmin=4222	a=3.08859104926845	D=0.0701566305965351	p=0.51
xmax=inf	_xmin=4215	a=3.0976334340751	D=0.0717749296619447	p=0.34
xmax=inf	_xmin=4204	a=3.1023648070389	D=0.0723256842588812	p=0.42
xmax=inf	_xmin=4188	a=3.10168231929383	D=0.0715946970761073	p=0.49
xmax=inf	_xmin=4150	a=3.09364866788215	D=0.0686183727385089	p=0.44
xmax=inf	_xmin=4125	a=3.08303186698764	D=0.0657612129006827	p=0.52
xmax=inf	_xmin=4096	a=3.06817522129577	D=0.0620744499549226	p=0.54
xmax=inf	_xmin=4093	a=3.08033835641923	D=0.0641548897772107	p=0.51
xmax=inf	_xmin=4083	a=3.08501931827143	D=0.0646364096058648	p=0.57
xmax=inf	_xmin=4062	a=3.07789134288304	D=0.0627071793091232	p=0.52
xmax=inf	_xmin=3981	a=3.00885609415158	D=0.0492453056737348	p=0.78
xmax=inf	_xmin=3964	a=3.00605689040654	D=0.0485689767237513	p=0.8
xmax=inf	_xmin=3948	a=3.00411977617901	D=0.048001568915954	p=0.76
